2026-03-28 20:25:42,758 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:25:42,758 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:26:52,973 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_screen | RESULT: Success
2026-03-28 20:26:53,108 - [INFO] - ACTION: Toggle Screen | DETAIL: Power button pressed via Wi-Fi | RESULT: Success
2026-03-28 20:26:53,827 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_screen | RESULT: Success
2026-03-28 20:26:54,027 - [INFO] - ACTION: Toggle Screen | DETAIL: Power button pressed via Wi-Fi | RESULT: Success
2026-03-28 20:26:57,244 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:26:57,296 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:26:57,296 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:26:58,416 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:26:58,424 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:26:58,425 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:26:59,138 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:26:59,221 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:26:59,221 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:26:59,357 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:26:59,364 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:26:59,364 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:26:59,550 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:26:59,558 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:26:59,558 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:26:59,723 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:26:59,835 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:26:59,835 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:27:00,591 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: refresh | RESULT: Success
2026-03-28 20:27:00,600 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent refresh to 4/4 clients | RESULT: Success
2026-03-28 20:27:00,600 - [INFO] - ACTION: Refresh | DETAIL: Sent refresh command to all displays | RESULT: Success
2026-03-28 20:27:01,316 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: launch_app | RESULT: Success
2026-03-28 20:27:01,450 - [INFO] - ACTION: Launch App | DETAIL: Opening browser to http://192.168.33.22:8000 via Wi-Fi | RESULT: Success
2026-03-28 20:27:02,560 - [INFO] - ACTION: Fetch Tasks | DETAIL: Retrieved 51 events from Moodle | RESULT: Success
2026-03-28 20:27:04,288 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:27:04,341 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 5/5 clients | RESULT: Success
2026-03-28 20:27:04,341 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:27:33,157 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_screen | RESULT: Success
2026-03-28 20:27:33,345 - [INFO] - ACTION: Toggle Screen | DETAIL: Power button pressed via Wi-Fi | RESULT: Success
2026-03-28 20:27:33,852 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_screen | RESULT: Success
2026-03-28 20:27:34,045 - [INFO] - ACTION: Toggle Screen | DETAIL: Power button pressed via Wi-Fi | RESULT: Success
2026-03-28 20:27:36,248 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
